"","gelman","quantiles.2.5.","quantiles.25.","quantiles.50.","quantiles.75.","quantiles.97.5.","statistics.mean","statistics.sd","correlations.deviance","correlations.BELSPP","correlations.CYBSPP","correlations.PLASCA","correlations.Coleopterans","correlations.Sphaeriidae","correlations.Cyprinodont","correlations.Procambarus","correlations.Pomacea","correlations.Odonata","correlations.Green.Algae","correlations.Anurans","correlations.sd.d13C.","correlations.sd.d15N."
"deviance",1.01414111274604,26.3959413758176,32.1963773576786,36.3730122720146,40.7818561064076,48.831522585999,36.702834924933,6.06766678397688,1,0.00867182844244635,-0.00982804606326232,0.0290567926995204,0.0358407713856458,-0.00407506835181433,-0.128388448734734,-0.0310200312642031,-0.0254065090058664,0.0130282434981897,0.0800096129939898,0.0511489576333131,0.610631367180491,0.644929830468277
"BELSPP",1.00330219124722,0.00802857138782661,0.0298762836105606,0.0604853928652,0.127398499700148,0.336024739392824,0.0926283728979298,0.0910249693063718,0.00867182844244635,1,-0.094184379482178,-0.101455308766497,-0.111730657472016,-0.118663242000426,-0.158049115301473,-0.0613391641947997,-0.0877124545145865,-0.103362894051407,-0.123132613390256,-0.0565104785971694,0.0215009979523501,-0.00083640715779364
"CYBSPP",1.00189449043501,0.00785074700166413,0.0310386756603467,0.0594928463473405,0.108492839688976,0.325290449683542,0.0849452210603104,0.0833276232653772,-0.00982804606326232,-0.094184379482178,1,-0.125279225305079,-0.0729788872769687,-0.103912532211664,-0.0980402709258128,-0.0943991657847857,-0.0628363327694928,-0.0726249259866734,-0.075647292233182,-0.13033789583801,-0.0255870843572895,-0.0100165709433305
"PLASCA",1.00002685575723,0.00885714117085033,0.0309101718044317,0.06022187090009,0.114945843286833,0.333531126626455,0.0887300026162201,0.0888792780859757,0.0290567926995204,-0.101455308766497,-0.125279225305079,1,-0.137877508549553,-0.0780114868414171,-0.107446216358404,-0.100549844293277,-0.0828085710181897,-0.100707281431262,-0.0969290263364493,-0.062434492420709,0.0480855117312057,-0.0211844848922783
"Coleopterans",0.999936783860331,0.00614616005856513,0.0303582210557137,0.0618730090369736,0.121001165231752,0.352330815345557,0.0923553394605637,0.0956338770185878,0.0358407713856458,-0.111730657472016,-0.0729788872769687,-0.137877508549553,1,-0.137003781488852,-0.110264890579558,-0.0979004228587826,-0.138979721880275,-0.0775443188827996,-0.0851015175572828,-0.109856671666277,-0.0261082770840388,0.0273572551312043
"Sphaeriidae",1.00001470113731,0.00800628887586543,0.0329683020623877,0.0589629016908671,0.112838203851872,0.337286016971576,0.0877038974600726,0.085414502203067,-0.00407506835181433,-0.118663242000426,-0.103912532211664,-0.0780114868414171,-0.137003781488852,1,-0.125890508118015,-0.0649706122949582,-0.0792524645467188,-0.115726872707533,-0.0467647635279442,-0.07328401477945,-0.0673478088047626,0.0546073313825528
"Cyprinodont",1.00078031196078,0.0085059270824652,0.031791976284451,0.0698225138559559,0.140465049876135,0.37862714195164,0.103240322713014,0.100706492507247,-0.128388448734734,-0.158049115301473,-0.0980402709258128,-0.107446216358404,-0.110264890579558,-0.125890508118015,1,-0.117560313977477,-0.121700442243846,-0.107682791416468,-0.091307363059844,-0.104948179194915,0.0239675860807826,-0.0860588707580814
"Procambarus",0.999932814677844,0.00820638895177235,0.0303629089442129,0.0596357391292151,0.112177563704354,0.328312947202583,0.0883713914265478,0.0875820580124543,-0.0310200312642031,-0.0613391641947997,-0.0943991657847857,-0.100549844293277,-0.0979004228587826,-0.0649706122949582,-0.117560313977477,1,-0.0901846559217902,-0.142006133542298,-0.0858882825908935,-0.123186253954578,-0.0373121708091145,0.0231078964584368
"Pomacea",1.00340848296906,0.00638330820400571,0.0307869816205881,0.0658669422283006,0.125420856849881,0.336395218771127,0.0932874966600433,0.087811509522708,-0.0254065090058664,-0.0877124545145865,-0.0628363327694928,-0.0828085710181897,-0.138979721880275,-0.0792524645467188,-0.121700442243846,-0.0901846559217902,1,-0.100522286485232,-0.102553292190295,-0.109591535141046,0.00830969208268217,-0.01864012538278
"Odonata",1.00006543563244,0.00851502939174592,0.0301927630637241,0.0620410269739107,0.118681394923432,0.338884826561727,0.0909477146301294,0.0892850467991657,0.0130282434981897,-0.103362894051407,-0.0726249259866734,-0.100707281431262,-0.0775443188827996,-0.115726872707533,-0.107682791416468,-0.142006133542298,-0.100522286485232,1,-0.0934930990656529,-0.0886345261009951,-0.038135077089739,0.00772854034433552
"Green Algae",1.00369312250974,0.00873431757237112,0.0323498561390131,0.0594103110497268,0.113989909098726,0.322890133795202,0.0867157594341011,0.0827896852167115,0.0800096129939898,-0.123132613390256,-0.075647292233182,-0.0969290263364493,-0.0851015175572828,-0.0467647635279442,-0.091307363059844,-0.0858882825908935,-0.102553292190295,-0.0934930990656529,1,-0.120018304758878,0.0383351991733446,0.0465546338698458
"Anurans",1.00064992540749,0.00686804486760545,0.0328241798224349,0.0601387171923412,0.120740601588856,0.340681392100511,0.0910744816410677,0.0871505636207923,0.0511489576333131,-0.0565104785971694,-0.13033789583801,-0.062434492420709,-0.109856671666277,-0.07328401477945,-0.104948179194915,-0.123186253954578,-0.109591535141046,-0.0886345261009951,-0.120018304758878,1,0.051705054556339,-0.00862306318833574
"sd[d13C]",1.02272580313701,1.85964772602755,4.31580656753964,7.70685060693207,14.4384792299739,40.6362516134712,11.3829353251824,11.4719766442348,0.610631367180491,0.0215009979523501,-0.0255870843572895,0.0480855117312057,-0.0261082770840388,-0.0673478088047626,0.0239675860807826,-0.0373121708091145,0.00830969208268217,-0.038135077089739,0.0383351991733446,0.051705054556339,1,-0.0215138245793462
"sd[d15N]",1.00198747652944,1.58235261141953,3.92719145748064,7.19777240007413,12.8786379940665,36.3526155875727,10.2474795732864,9.58294864990571,0.644929830468277,-0.00083640715779364,-0.0100165709433305,-0.0211844848922783,0.0273572551312043,0.0546073313825528,-0.0860588707580814,0.0231078964584368,-0.01864012538278,0.00772854034433552,0.0465546338698458,-0.00862306318833574,-0.0215138245793462,1
