"","gelman","quantiles.2.5.","quantiles.25.","quantiles.50.","quantiles.75.","quantiles.97.5.","statistics.mean","statistics.sd","correlations.deviance","correlations.BELSPP","correlations.CYBSPP","correlations.PLASCA","correlations.Coleopterans","correlations.Cyprinodont","correlations.Procambarus","correlations.Pomacea","correlations.Odonata","correlations.sd.d13C.","correlations.sd.d15N."
"deviance",1.00908499182596,23.540006899761,30.4856885326503,34.7498273907782,39.2429798673572,47.6220950388592,34.9515975891622,6.20035087148425,1,0.0244237543634246,0.0926540351531438,0.0461646802003078,0.0963503812087289,-0.218793685395596,-0.0692099546864356,0.000591033830492749,0.0620045759332805,0.600078538544311,0.617358439826419
"BELSPP",0.999958392445372,0.0113206868301789,0.0416153036658566,0.0872876419530915,0.154824693679136,0.411858843144995,0.118963354910768,0.106974109145712,0.0244237543634246,1,-0.128463319768349,-0.134388326343722,-0.122466025951472,-0.127330038590878,-0.152989637153906,-0.129605144695785,-0.137633627348677,0.027272250591495,-0.0135874633008995
"CYBSPP",1.00332884348038,0.0119384918035244,0.0438792879988492,0.0855093430201334,0.158604959991635,0.411733474087979,0.118927461610391,0.107660439387011,0.0926540351531438,-0.128463319768349,1,-0.132239456311263,-0.119353807735305,-0.150976019779953,-0.144691746937792,-0.16120307516382,-0.0971086386007211,-0.0157813689448511,0.0766793232204686
"PLASCA",1.00139474982714,0.0120491016103772,0.0504056438015175,0.088955383673158,0.171850758868759,0.468618007834322,0.127046977965353,0.114539524665579,0.0461646802003078,-0.134388326343722,-0.132239456311263,1,-0.134286299332823,-0.210232046453457,-0.117291935677212,-0.141165959832447,-0.130469822120315,0.033017487678633,0.0126645117647441
"Coleopterans",1.00248678954567,0.0114853560782786,0.0404213017437331,0.0779601421095291,0.160674870788608,0.426517228865299,0.117875761791506,0.109505750147096,0.0963503812087289,-0.122466025951472,-0.119353807735305,-0.134286299332823,1,-0.180893175130358,-0.148072846225604,-0.130452302110352,-0.115794618117231,0.0431765000704089,0.0183692818542953
"Cyprinodont",1.00506999291491,0.0116158766143158,0.0505722153169658,0.108263655576844,0.203629009759575,0.48379556669589,0.143921236326203,0.125130797082931,-0.218793685395596,-0.127330038590878,-0.150976019779953,-0.210232046453457,-0.180893175130358,1,-0.133587403023628,-0.127902958150027,-0.18660007394386,0.000202545190068174,-0.129940693288591
"Procambarus",1.00032394824055,0.0118914606666588,0.0455160837413907,0.0895660274770919,0.16852463605276,0.449987196724253,0.125624251264192,0.114879577992761,-0.0692099546864356,-0.152989637153906,-0.144691746937792,-0.117291935677212,-0.148072846225604,-0.133587403023628,1,-0.20447838726348,-0.107556252763885,-0.0727129128194842,-0.0431463607877903
"Pomacea",1.00195935368036,0.0109200622577154,0.0433185051128299,0.0873920378635482,0.171893741288045,0.484126858081015,0.127721002105314,0.120902325873058,0.000591033830492749,-0.129605144695785,-0.16120307516382,-0.141165959832447,-0.130452302110352,-0.127902958150027,-0.20447838726348,1,-0.179126734591469,-0.0274455440634645,0.0645751187498219
"Odonata",1.00814974395017,0.0107445657866292,0.0412200197898396,0.0860056174371715,0.161220339765621,0.430175465460755,0.119919954026273,0.110164393057414,0.0620045759332805,-0.137633627348677,-0.0971086386007211,-0.130469822120315,-0.115794618117231,-0.18660007394386,-0.107556252763885,-0.179126734591469,1,0.0174088576821908,0.0285481008141106
"sd[d13C]",0.999905715046061,1.66941469774641,3.92470385674828,7.04936161541556,13.0957869200907,38.2039400239144,10.296263956643,9.54226639068221,0.600078538544311,0.027272250591495,-0.0157813689448511,0.033017487678633,0.0431765000704089,0.000202545190068174,-0.0727129128194842,-0.0274455440634645,0.0174088576821908,1,-0.0510533441047614
"sd[d15N]",1.01313838125527,1.02669066757556,3.25541874524264,6.19359585630173,10.9581198156433,30.3698293989183,8.82411081095034,9.18973863684159,0.617358439826419,-0.0135874633008995,0.0766793232204686,0.0126645117647441,0.0183692818542953,-0.129940693288591,-0.0431463607877903,0.0645751187498219,0.0285481008141106,-0.0510533441047614,1
