"","gelman","quantiles.2.5.","quantiles.25.","quantiles.50.","quantiles.75.","quantiles.97.5.","statistics.mean","statistics.sd","correlations.deviance","correlations.ALGBAL","correlations.BELSPP","correlations.CYBSPP","correlations.PLASCA","correlations.Coleopterans","correlations.Cyprinodont","correlations.Procambarus","correlations.Pomacea","correlations.Odonata","correlations.sd.d13C.","correlations.sd.d15N."
"deviance",1.00056222669837,22.9342727627717,29.442815591706,33.9100603479072,39.0575861079698,48.4502348590961,34.4321427086771,6.71488950230447,1,-0.107204841669865,0.0465118320045052,0.107423725602174,-0.044985013953728,0.109610834677739,-0.130697439364233,0.0151583966683063,0.0280314943816371,-0.00555633649642891,0.617431213617321,0.675026050861421
"ALGBAL",0.999889296181858,0.0100812485597697,0.0422226081526639,0.0829392079389142,0.167564524971006,0.413493974052998,0.12059566155351,0.111147641893757,-0.107204841669865,1,-0.0910349853795207,-0.165750401038511,-0.130413602358097,-0.106563136009221,-0.145099662532374,-0.17114174741854,-0.146438215651729,-0.110972763941026,-0.0390868888298838,-0.0689853860599979
"BELSPP",1.00145852057231,0.00989514970282555,0.0392661120903647,0.076480605100351,0.140361394725568,0.372909930866922,0.106063598359968,0.0980315177643292,0.0465118320045052,-0.0910349853795207,1,-0.163941323058902,-0.0963455368223395,-0.170820793182979,-0.0851779996678336,-0.102419955723768,-0.114274083262065,-0.116804566351117,0.0166651532821148,-0.0106449667089286
"CYBSPP",1.013755132395,0.0119466808545595,0.0390714885431927,0.0725688078904108,0.13925872963049,0.443671421104291,0.109266721557941,0.110684242502484,0.107423725602174,-0.165750401038511,-0.163941323058902,1,-0.162862759896862,-0.0687359366873426,-0.13038635140786,-0.113341319900926,-0.110730951358853,-0.153781733451505,0.0134009158009804,0.12636531583363
"PLASCA",1.00083331308922,0.0094060694042738,0.0362113155339335,0.0712169784870465,0.143723056406709,0.395925988513435,0.105687820222198,0.100308256638641,-0.044985013953728,-0.130413602358097,-0.0963455368223395,-0.162862759896862,1,-0.117367100618781,-0.121054509467564,-0.118651458009902,-0.103403494863908,-0.10442115239159,-0.0288326947230428,-0.0585267736418361
"Coleopterans",1.00036451416469,0.0115966069076624,0.0409163890938336,0.0792049818597751,0.138150654045514,0.381487362386896,0.105419632374146,0.0943560461115456,0.109610834677739,-0.106563136009221,-0.170820793182979,-0.0687359366873426,-0.117367100618781,1,-0.110556068032531,-0.143255451084869,-0.10162258891277,-0.0828246034164358,0.092227591288803,0.0520599114267176
"Cyprinodont",0.999886320621507,0.011088102504776,0.0446152894446399,0.0907982488028719,0.167945925872219,0.4294518591677,0.12526952994074,0.110537246039138,-0.130697439364233,-0.145099662532374,-0.0851779996678336,-0.13038635140786,-0.121054509467564,-0.110556068032531,1,-0.111744450377849,-0.198258364356863,-0.161880461976869,-0.00176297454395366,-0.0723094420273598
"Procambarus",1.0001840992898,0.0081862894022147,0.0371080391043783,0.0717865770535216,0.144160492915171,0.394867224650036,0.107478777900611,0.105093347087936,0.0151583966683063,-0.17114174741854,-0.102419955723768,-0.113341319900926,-0.118651458009902,-0.143255451084869,-0.111744450377849,1,-0.155283648634889,-0.0909759622864516,-0.0069145310744203,0.0162028048847012
"Pomacea",1.00150992610403,0.0108535132898379,0.0401808219628562,0.0785097460842172,0.151935413877287,0.417160595266046,0.114119601022769,0.108227211086775,0.0280314943816371,-0.146438215651729,-0.114274083262065,-0.110730951358853,-0.103403494863908,-0.10162258891277,-0.198258364356863,-0.155283648634889,1,-0.105148201602203,-0.0505777618682366,0.0649231276942628
"Odonata",1.00095195492057,0.00860259445890253,0.0368418187202875,0.0762123271779284,0.145218382547206,0.371616087632471,0.106098657068118,0.0979300959231025,-0.00555633649642891,-0.110972763941026,-0.116804566351117,-0.153781733451505,-0.10442115239159,-0.0828246034164358,-0.161880461976869,-0.0909759622864516,-0.105148201602203,1,0.0185111347188545,-0.0516017289303514
"sd[d13C]",0.999899386543204,1.39024768226073,3.54035915588549,6.16222100669316,11.8171334687488,39.5581248690632,9.46106902284574,10.0791399752482,0.617431213617321,-0.0390868888298838,0.0166651532821148,0.0134009158009804,-0.0288326947230428,0.092227591288803,-0.00176297454395366,-0.0069145310744203,-0.0505777618682366,0.0185111347188545,1,0.0658618751982483
"sd[d15N]",1.00088730078899,1.1001147954328,3.31536065453886,6.08743779837959,11.8970394736534,34.3825704852079,9.27585800131777,9.3855801620206,0.675026050861421,-0.0689853860599979,-0.0106449667089286,0.12636531583363,-0.0585267736418361,0.0520599114267176,-0.0723094420273598,0.0162028048847012,0.0649231276942628,-0.0516017289303514,0.0658618751982483,1
