"","gelman","quantiles.2.5.","quantiles.25.","quantiles.50.","quantiles.75.","quantiles.97.5.","statistics.mean","statistics.sd","correlations.deviance","correlations.CICURO","correlations.CYBSPP","correlations.HEMLET","correlations.POELAT","correlations.RANGRY","correlations.TILMAR","correlations.Cyprinodont","correlations.Centrarchid","correlations.Anurans","correlations.Procambarus","correlations.Odonata","correlations.sd.d13C.","correlations.sd.d15N."
"deviance",1.0006843139642,30.5488263803565,34.587963484282,38.2515373891786,43.0947619520692,54.0504737482675,39.3836015887156,6.3798791103469,1,0.0542676853872658,-0.0836843206398262,0.122263688214346,0.0841466594647324,-0.0701881396473466,-0.00167211932517276,0.0815925439631379,0.067100172977144,-0.052512832715348,-0.053292401744789,-0.0464522505507384,0.591206341653844,0.721864654302129
"CICURO",1.00276694246357,0.00714024918045795,0.0302172697570732,0.0587280129577183,0.105520133532118,0.302276138242731,0.0813233846475543,0.0761369382650657,0.0542676853872658,1,-0.112137774154004,-0.136166923787384,-0.0998178539914824,-0.0875810646100027,-0.104574709389383,-0.094746560119842,-0.0693097800096467,-0.109917620589473,-0.0587951727466554,-0.0332962813904409,-0.0343012000178797,0.0679031416423727
"CYBSPP",1.00087434484451,0.0108145408918732,0.0372181822131839,0.0793730223624523,0.140466617855303,0.352490042116205,0.105356761493251,0.0920825672070442,-0.0836843206398262,-0.112137774154004,1,0.0299423229735809,-0.0261796278657218,-0.110917165639425,-0.108504529306467,-0.0819138873294107,-0.0301293462621071,-0.171562295622949,-0.205390267881244,-0.204721302445779,0.00346666407424048,-0.0582891980116162
"HEMLET",1.00001803048964,0.00633740013625457,0.0264308361225964,0.0515112196440355,0.0983711767962968,0.243204421843551,0.0749942412125958,0.0713843513508824,0.122263688214346,-0.136166923787384,0.0299423229735809,1,-0.0958284089229446,-0.0730425748335463,-0.0638710196002331,-0.0888246314445668,-0.088785375709311,-0.109307239480286,-0.11689786939232,-0.104867695458825,0.0230903056082993,0.102754540619776
"POELAT",0.999953957674872,0.00880942623820283,0.0320166782108487,0.0578235543099511,0.104217041242081,0.251993122827427,0.0793378694792228,0.0699847771932199,0.0841466594647324,-0.0998178539914824,-0.0261796278657218,-0.0958284089229446,1,-0.132843631336343,-0.150033415709689,-0.0713272137214801,-0.0714744988922284,-0.0720017714644495,-0.00932827753247651,-0.0912210399853416,0.00148264083333546,0.0574756189403164
"RANGRY",1.00775511993178,0.0083821650711044,0.034253647664533,0.0710190345410224,0.141792170791151,0.365456420614003,0.103302050680325,0.0970794002363867,-0.0701881396473466,-0.0875810646100027,-0.110917165639425,-0.0730425748335463,-0.132843631336343,1,-0.0803258577106881,-0.0543425391946052,-0.132444324982408,-0.178160235752319,-0.142565265778553,-0.149116782072421,-0.00387386895282186,-0.0574069482713787
"TILMAR",1.00503914419579,0.0107057552581902,0.0318808649164611,0.0598194189350027,0.119082410924549,0.341494267797686,0.0921275159257009,0.0900109137962821,-0.00167211932517276,-0.104574709389383,-0.108504529306467,-0.0638710196002331,-0.150033415709689,-0.0803258577106881,1,-0.135854016791629,-0.100816931121339,-0.123412917148424,-0.104202538470568,-0.111491681954128,-0.0487342940633729,0.0345319719872818
"Cyprinodont",1.00150167501353,0.00745919730149123,0.0284747135711514,0.0552428100014976,0.100579886672721,0.256524262369751,0.0756803662603188,0.0689946209712314,0.0815925439631379,-0.094746560119842,-0.0819138873294107,-0.0888246314445668,-0.0713272137214801,-0.0543425391946052,-0.135854016791629,1,-0.128826453744353,-0.0749139894583524,-0.0336326947244244,-0.0577906776574243,0.0242752741929823,0.033753436532801
"Centrarchid",1.00011301461919,0.0101176804885403,0.0295543328827768,0.0549064856781456,0.101964399650327,0.27461517180114,0.0778670239150736,0.0725429316015011,0.067100172977144,-0.0693097800096467,-0.0301293462621071,-0.088785375709311,-0.0714744988922284,-0.132444324982408,-0.100816931121339,-0.128826453744353,1,-0.0565698014716534,-0.119132926480664,-0.0595261941400477,-0.0472630939528247,0.0881180568496773
"Anurans",1.00561031611728,0.00930173224269319,0.0378754808926994,0.0748607502972621,0.145928950869106,0.390406913188463,0.10929778450345,0.100463150215232,-0.052512832715348,-0.109917620589473,-0.171562295622949,-0.109307239480286,-0.0720017714644495,-0.178160235752319,-0.123412917148424,-0.0749139894583524,-0.0565698014716534,1,-0.143425305855491,-0.133038132620047,0.0615768229331216,-0.0741049392028261
