"","gelman","quantiles.2.5.","quantiles.25.","quantiles.50.","quantiles.75.","quantiles.97.5.","statistics.mean","statistics.sd","correlations.deviance","correlations.CYBSPP","correlations.POELAT","correlations.RANGRY","correlations.TILMAR","correlations.Cyprinodont","correlations.Anurans","correlations.Procambarus","correlations.Odonata","correlations.sd.d13C.","correlations.sd.d15N."
"deviance",1.00087442161261,30.5733441929592,34.300649225156,37.800315366705,42.3745751313533,54.5181086933228,38.9499296708941,6.13132010216261,1,0.0658459333660764,0.00155994540450368,-0.0466307281226436,-0.0499655655136565,0.0287860512864605,0.0169321577075511,0.0595852312086103,-0.05275263847013,0.617920930028388,0.723852593267648
"CYBSPP",1.00251914680826,0.0112275700990368,0.0455097751283078,0.0807226232617431,0.141774010808791,0.353368982004957,0.108670625641575,0.0924490135536108,0.0658459333660764,1,-0.00473992884318507,-0.184550875195,-0.0468815066312339,-0.0425076240065557,-0.170977130095315,-0.197550187473856,-0.202030280010075,-0.00469635842781372,0.0800246100016375
"POELAT",1.00049263382012,0.01209658803418,0.0496446697523681,0.0997693780490574,0.177541342543077,0.401989632554012,0.130479991185831,0.105744572055564,0.00155994540450368,-0.00473992884318507,1,-0.147562722238502,-0.225147539504783,-0.236801616663783,-0.14536200280022,-0.103152427566304,-0.124342281674366,0.0203385112336471,0.000430072922676664
"RANGRY",1.00080653756788,0.0132450133175588,0.0509946091352448,0.104419341943166,0.193377476766106,0.475815022398969,0.14125027393227,0.123737637548499,-0.0466307281226436,-0.184550875195,-0.147562722238502,1,-0.190454473409587,-0.178513733437335,-0.1565502054368,-0.158227647260632,-0.186907945040118,0.0338882804948754,-0.0707037408189019
"TILMAR",1.00150493465985,0.0120964249065456,0.0504292239169486,0.0954705736249091,0.17237887589692,0.429756056066153,0.127892274540654,0.109314632982106,-0.0499655655136565,-0.0468815066312339,-0.225147539504783,-0.190454473409587,1,-0.182061347646092,-0.135052718868258,-0.146175888398667,-0.0988188455429855,-0.0492258643172185,-0.0235579334847395
"Cyprinodont",1.00167172178625,0.0130405900379689,0.0526284841177649,0.0937239008707922,0.167818591869981,0.379095823811792,0.122650623036299,0.0986779766308329,0.0287860512864605,-0.0425076240065557,-0.236801616663783,-0.178513733437335,-0.182061347646092,1,-0.0653476353862495,-0.0828323265172839,-0.115212840194251,-0.0208576663868366,0.0414159049488758
"Anurans",1.00245081594107,0.0101219301518674,0.046709613463573,0.0926922995115191,0.168355007040325,0.407030066316485,0.122893788503407,0.103523223864828,0.0169321577075511,-0.170977130095315,-0.14536200280022,-0.1565502054368,-0.135052718868258,-0.0653476353862495,1,-0.138183488148064,-0.162739701792048,-0.00748651337318392,0.0212482734531079
"Procambarus",1.00215686889539,0.0131864452975565,0.0469057164187379,0.0966781035089937,0.174097896741544,0.387741946247905,0.123583444696431,0.102340797562678,0.0595852312086103,-0.197550187473856,-0.103152427566304,-0.158227647260632,-0.146175888398667,-0.0828323265172839,-0.138183488148064,1,-0.139762420583973,0.0653424851830185,0.0264771355778014
"Odonata",0.999892937074691,0.0134859404831298,0.0437415596732063,0.0887382529589975,0.170180010029249,0.403572461732327,0.122578978463534,0.108275620973943,-0.05275263847013,-0.202030280010075,-0.124342281674366,-0.186907945040118,-0.0988188455429855,-0.115212840194251,-0.162739701792048,-0.139762420583973,1,-0.0404767355144143,-0.0472493440412325
"sd[d13C]",1.00065653577684,1.03453752487352,1.87663328017475,2.69200165936233,3.94652700073197,11.0381095785729,3.47617422583503,2.97202776299704,0.617920930028388,-0.00469635842781372,0.0203385112336471,0.0338882804948754,-0.0492258643172185,-0.0208576663868366,-0.00748651337318392,0.0653424851830185,-0.0404767355144143,1,0.0141549434684083
"sd[d15N]",1.00459811043448,0.48596154115367,1.05694807683042,1.52446566726922,2.48734698190154,6.48200813558645,2.05902944612564,1.65963336677301,0.723852593267648,0.0800246100016375,0.000430072922676664,-0.0707037408189019,-0.0235579334847395,0.0414159049488758,0.0212482734531079,0.0264771355778014,-0.0472493440412325,0.0141549434684083,1
