"","gelman","quantiles.2.5.","quantiles.25.","quantiles.50.","quantiles.75.","quantiles.97.5.","statistics.mean","statistics.sd","correlations.deviance","correlations.CYBSPP","correlations.RANGRY","correlations.TILMAR","correlations.Cyprinodont","correlations.Anurans","correlations.Procambarus","correlations.Odonata","correlations.sd.d13C.","correlations.sd.d15N."
"deviance",1.002105219898,30.6168498291531,34.6568652825283,38.1241233606604,42.1720787595612,54.3835457461159,39.1124074505685,6.12458665331205,1,0.151977569496481,-0.0678671016922018,-0.120435649025874,-0.0480820224120628,0.00117932724315955,0.0930683296516892,0.0625046153297173,0.602570622117255,0.698756992456355
"CYBSPP",1.0001904898106,0.0129964838355159,0.051633914156393,0.0934047745429745,0.151899751186717,0.339411832766732,0.114284361907379,0.0861289399622092,0.151977569496481,1,-0.210978733130636,-0.0843483471777052,0.0584450367176106,-0.123813358376801,-0.201986991207264,-0.15053683723403,0.0328935523211674,0.147484037101865
"RANGRY",1.00011252430974,0.0166078206913331,0.0587999376516364,0.112610520149883,0.209344963103733,0.523077051370256,0.155508142709398,0.135786964739218,-0.0678671016922018,-0.210978733130636,1,-0.205049420370018,-0.218811216338438,-0.226409119260514,-0.193958088097906,-0.175109035022637,-0.0240968284084612,-0.0407605978719249
"TILMAR",1.00450917043253,0.0152560989112236,0.0629709376610631,0.136485736443161,0.241642996414879,0.496682190423761,0.170381102738812,0.132673970758008,-0.120435649025874,-0.0843483471777052,-0.205049420370018,1,-0.336004043002453,-0.201926306875988,-0.131744771427869,-0.211336177989778,-0.0422443183417025,-0.0734927086380971
"Cyprinodont",0.999895911760978,0.0141726252473081,0.0709752316684588,0.13431556359667,0.229375595462051,0.422441949876524,0.162158384433072,0.112584130515726,-0.0480820224120628,0.0584450367176106,-0.218811216338438,-0.336004043002453,1,-0.0921005182598643,-0.217180944128653,-0.076647984991216,0.0300769068296845,-0.0509101732803117
"Anurans",1.00332529625819,0.0129363476394344,0.0527955242097927,0.102815178245025,0.191700643664996,0.409452684802634,0.134347435935103,0.109474384428156,0.00117932724315955,-0.123813358376801,-0.226409119260514,-0.201926306875988,-0.0921005182598643,1,-0.134566578939677,-0.144792174992032,-0.0485944244375159,0.0401672768399894
"Procambarus",0.999901018446699,0.0141491686981683,0.0483096663481244,0.101399067117317,0.187428266212596,0.446024143303679,0.134396125245818,0.115680773022831,0.0930683296516892,-0.201986991207264,-0.193958088097906,-0.131744771427869,-0.217180944128653,-0.134566578939677,1,-0.144265214079911,0.0767251207882386,0.00804207496717224
"Odonata",1.00256072338378,0.0143483852204625,0.0524256005808477,0.0960339596763477,0.173494713666508,0.397613112806809,0.128924447030418,0.105951004937446,0.0625046153297173,-0.15053683723403,-0.175109035022637,-0.211336177989778,-0.076647984991216,-0.144792174992032,-0.144265214079911,1,-0.00847834461689803,0.0281900091994451
"sd[d13C]",1.00197570086204,1.16530651233223,1.95754955411026,2.78962215129275,4.09009845502574,10.5432957635818,3.54718494146788,2.95298680492912,0.602570622117255,0.0328935523211674,-0.0240968284084612,-0.0422443183417025,0.0300769068296845,-0.0485944244375159,0.0767251207882386,-0.00847834461689803,1,0.0200860122705138
"sd[d15N]",1.00042567113907,0.515816122431769,1.02364454398953,1.56558630925485,2.38675501010575,6.78487466246874,2.02746458479852,1.8425005024572,0.698756992456355,0.147484037101865,-0.0407605978719249,-0.0734927086380971,-0.0509101732803117,0.0401672768399894,0.00804207496717224,0.0281900091994451,0.0200860122705138,1
