"","gelman","quantiles.2.5.","quantiles.25.","quantiles.50.","quantiles.75.","quantiles.97.5.","statistics.mean","statistics.sd","correlations.deviance","correlations.BELSPP","correlations.CORIXI","correlations.FLATWORM","correlations.PELFEM","correlations.PLASCA","correlations.Coleopterans","correlations.Pomacea","correlations.Odonata","correlations.sd.d13C.","correlations.sd.d15N."
"deviance",1.00107977629222,54.4472185184954,57.032916819342,59.2949536814527,62.8791371453453,70.8979405522072,60.3581018554596,4.42707003540481,1,0.0305718917926971,0.172943708692321,-0.128773652879692,0.00441309620735593,-0.0396280676288392,0.0672259731752396,-0.110217402961797,0.0837298219225055,0.607614067665572,0.662550256249158
"BELSPP",1.00040211645683,0.0112904601241257,0.0508073603655902,0.0997244831352144,0.184345919803313,0.445015085173036,0.134952316565495,0.115704750933712,0.0305718917926971,1,-0.116991778680666,-0.22855386199714,-0.14267620170738,-0.136763130493314,-0.171305471950703,-0.225849962232464,-0.141602211709888,0.0683979968616911,-0.0379017996771936
"CORIXI",1.00878838112979,0.00966313814293534,0.0340851726450131,0.0642116239739581,0.100915494805696,0.20003171439344,0.0753719538178212,0.0554415893238955,0.172943708692321,-0.116991778680666,1,-0.142809116842013,-0.0511345999506064,-0.105014702823331,-0.0518739906001822,0.0169499546243793,-0.0930330946751987,0.110118055506667,-0.0153804563942208
"FLATWORM",1.00197384335497,0.014434216504865,0.0564137429352202,0.101947420465529,0.174851605676623,0.330269630696633,0.124498828601105,0.0889091971927819,-0.128773652879692,-0.22855386199714,-0.142809116842013,1,-0.0366328247460503,-0.248247366857246,-0.00723269792051697,-0.0588007109364481,-0.160223047359291,-0.0917309876603803,-0.0169201860688957
"PELFEM",0.999898060487048,0.012807135411017,0.053482353290213,0.105422880096402,0.191290219075299,0.40442018748873,0.136084506602279,0.109060935689172,0.00441309620735593,-0.14267620170738,-0.0511345999506064,-0.0366328247460503,1,-0.143468048031662,-0.176010902422449,-0.294214884691986,-0.174993123004937,0.0349603377372918,0.0341645330444268
"PLASCA",1.00563194618625,0.0149868501463075,0.0469096902123076,0.0914171106588611,0.168529986537026,0.397670442871646,0.122719169815754,0.102337064431073,-0.0396280676288392,-0.136763130493314,-0.105014702823331,-0.248247366857246,-0.143468048031662,1,-0.0962091177243239,-0.173084610051024,-0.116399658455276,-0.0151390895123572,-0.110444642710981
"Coleopterans",1.00034970167052,0.0113754603348387,0.0462103175973892,0.0942110508633749,0.168513554945932,0.367942389643991,0.119775697696461,0.0955908269190223,0.0672259731752396,-0.171305471950703,-0.0518739906001822,-0.00723269792051697,-0.176010902422449,-0.0962091177243239,1,-0.211813418341646,-0.159884576117872,-0.0326289222394024,0.0742987227254704
"Pomacea",1.00031614853856,0.014797101577708,0.0679747772224214,0.124728051272975,0.216765765924596,0.470996023258403,0.157822049317315,0.122802264766148,-0.110217402961797,-0.225849962232464,0.0169499546243793,-0.0588007109364481,-0.294214884691986,-0.173084610051024,-0.211813418341646,1,-0.207635084328132,-0.105975614148979,0.0915652897453608
"Odonata",0.999886087632466,0.0140006378091187,0.0493412084533328,0.0920547548036395,0.183821063513716,0.407758625821674,0.128775477583769,0.107565724302855,0.0837298219225055,-0.141602211709888,-0.0930330946751987,-0.160223047359291,-0.174993123004937,-0.116399658455276,-0.159884576117872,-0.207635084328132,1,0.0744306724071756,-0.0374435383653665
"sd[d13C]",1.00254085865317,1.0985415432438,1.6446863088573,2.05172564580131,2.6007892219253,4.58890247645424,2.24512459042857,0.953356880278288,0.607614067665572,0.0683979968616911,0.110118055506667,-0.0917309876603803,0.0349603377372918,-0.0151390895123572,-0.0326289222394024,-0.105975614148979,0.0744306724071756,1,-0.0409279395354584
"sd[d15N]",1.00227883848015,0.340202858579794,0.656667970488772,0.859983427906714,1.15789462667224,2.06917167542015,0.955030763230676,0.469958173010781,0.662550256249158,-0.0379017996771936,-0.0153804563942208,-0.0169201860688957,0.0341645330444268,-0.110444642710981,0.0742987227254704,0.0915652897453608,-0.0374435383653665,-0.0409279395354584,1
