"","gelman","quantiles.2.5.","quantiles.25.","quantiles.50.","quantiles.75.","quantiles.97.5.","statistics.mean","statistics.sd","correlations.deviance","correlations.BELSPP","correlations.FLATWORM","correlations.PELFEM","correlations.PLASCA","correlations.Coleopterans","correlations.Pomacea","correlations.Odonata","correlations.Cyprinodont","correlations.sd.d13C.","correlations.sd.d15N."
"deviance",1.0008190219955,53.8643875294229,56.1168300617408,58.4587091918634,61.8195207683102,69.6643140968092,59.4900944165581,4.58426245342872,1,0.00377157215874012,0.0768194153171349,-0.0771684182828362,0.0651850935167142,-0.00268583889190982,-0.134758896008728,0.0435502026204888,0.120995255715366,0.592839188756092,0.739089863542057
"BELSPP",0.999983748653129,0.0125917931824437,0.0483297444391708,0.0986017210287692,0.17726078343096,0.441352250024642,0.130282645557077,0.110703077482408,0.00377157215874012,1,-0.145182248525745,-0.181600749286976,-0.229007185346464,-0.139442893894273,-0.118793408109088,-0.142555152572992,-0.184452956515944,0.00585426423422746,0.000736688580749647
"FLATWORM",1.00571051226286,0.0123967422627014,0.0446896171150128,0.080505187133167,0.13963890697627,0.300060004564335,0.100796455176036,0.0764079678491025,0.0768194153171349,-0.145182248525745,1,-0.0367484495111679,-0.176912947383276,-0.0459980871344444,-0.0577338986210391,-0.117808972054859,-0.232999524819627,-0.0246015304073457,0.0924056421189937
"PELFEM",1.00158976912319,0.0145751407418932,0.0635733854600219,0.126183594262414,0.215467029210728,0.46598885028768,0.155910913831988,0.120818870882806,-0.0771684182828362,-0.181600749286976,-0.0367484495111679,1,-0.164208690182027,-0.232819061656021,-0.292590126668139,-0.240711204133876,0.0311658754656844,-0.0237290930300488,-0.020912309117648
"PLASCA",1.00117214412297,0.0113327948505101,0.0463614274187074,0.0962633777336777,0.177275679587473,0.423390604764013,0.126700973705455,0.107756175997727,0.0651850935167142,-0.229007185346464,-0.176912947383276,-0.164208690182027,1,-0.112943353557408,-0.149768031952864,-0.135435509269143,-0.113420016428668,0.00896018945978681,-0.00718950324066097
"Coleopterans",1.00089157311763,0.012055391266543,0.0511932501797606,0.102211870346858,0.178659105344769,0.396302162715542,0.12767736750759,0.100492234782172,-0.00268583889190982,-0.139442893894273,-0.0459980871344444,-0.232819061656021,-0.112943353557408,1,-0.237219101723284,-0.158547091595608,0.0417042742581988,-0.000676622504300326,-0.00418509640551849
"Pomacea",1.00366442361472,0.0148010559783615,0.0553249659398766,0.117524548541158,0.209031165055761,0.427620374025032,0.145781956665891,0.112722916761443,-0.134758896008728,-0.118793408109088,-0.0577338986210391,-0.292590126668139,-0.149768031952864,-0.237219101723284,1,-0.157451783285403,-0.054650757104619,-0.0116896932925914,-0.0241404121756795
"Odonata",0.99991318423826,0.0131482235906884,0.0502265054582547,0.0938799397119543,0.171720729773066,0.394644936132777,0.127018365313079,0.106338319986148,0.0435502026204888,-0.142555152572992,-0.117808972054859,-0.240711204133876,-0.135435509269143,-0.158547091595608,-0.157451783285403,1,-0.0742415454282137,0.0316380653238691,-0.0453819493576873
"Cyprinodont",1.00230208340153,0.0137199115255476,0.0439252443454173,0.0720078778225379,0.115281030471871,0.226094902628677,0.0858313222428828,0.0565429697443227,0.120995255715366,-0.184452956515944,-0.232999524819627,0.0311658754656844,-0.113420016428668,0.0417042742581988,-0.054650757104619,-0.0742415454282137,1,0.0204168135217748,0.072985581769644
"sd[d13C]",1.00040236119512,1.04802004380533,1.53591855875706,1.95214369584201,2.45295200415895,3.99424425830356,2.09718700424515,0.827445315694522,0.592839188756092,0.00585426423422746,-0.0246015304073457,-0.0237290930300488,0.00896018945978681,-0.000676622504300326,-0.0116896932925914,0.0316380653238691,0.0204168135217748,1,0.0528558617051651
"sd[d15N]",1.00373092592958,0.35649385614749,0.667560528446762,0.902265406240697,1.21002804984505,2.10654461022356,0.987319955206447,0.514194016545016,0.739089863542057,0.000736688580749647,0.0924056421189937,-0.020912309117648,-0.00718950324066097,-0.00418509640551849,-0.0241404121756795,-0.0453819493576873,0.072985581769644,0.0528558617051651,1
