"","gelman","quantiles.2.5.","quantiles.25.","quantiles.50.","quantiles.75.","quantiles.97.5.","statistics.mean","statistics.sd","correlations.deviance","correlations.BELSPP","correlations.BLUE.MITE","correlations.FLATWORM","correlations.PELFEM","correlations.PLASCA","correlations.Coleopterans","correlations.Pomacea","correlations.Odonata","correlations.Cyprinodont","correlations.sd.d13C.","correlations.sd.d15N."
"deviance",1.00205189267275,53.9444496373069,56.276975444431,58.5051644366652,61.4758252743246,69.6818040504091,59.4046793275474,4.18330740925978,1,0.0917920671883709,0.0687597220288325,0.110388838841853,-0.0299261390282361,0.0123241811501706,-0.0862564379978147,-0.141908462349204,0.00255063962867571,0.0675542806549439,0.559510081351534,0.729298886569319
"BELSPP",1.00190652442352,0.0108469421766082,0.0416097017045044,0.0859533417043253,0.155040422355243,0.38630151806784,0.114831865086559,0.100256942408523,0.0917920671883709,1,-0.0888005254500211,-0.10979213013572,-0.169823064130882,-0.170095419230405,-0.168341059609598,-0.137643230141822,-0.10915914395302,-0.137534559085462,0.12257857748058,0.0257818979099131
"BLUE MITE",1.00016202339488,0.00978692981191174,0.037402874909174,0.0721780272681438,0.121571100218547,0.266464788039535,0.0893157564310581,0.0689825836428916,0.0687597220288325,-0.0888005254500211,1,-0.0606973023454488,-0.157367730717034,-0.10633094928146,-0.0936796046193701,-0.0771416396308621,-0.0650819283340791,-0.0580736077342089,-0.0440709282464116,0.011495310847042
"FLATWORM",1.00018883338667,0.0107499628572503,0.0396242659808707,0.0746558166809699,0.129077642551469,0.261735439052514,0.0941773405646452,0.0719121400155986,0.110388838841853,-0.10979213013572,-0.0606973023454488,1,-0.0771965015150899,-0.138604946782861,-0.0369457466437557,-0.0780853145808663,-0.0665231305698351,-0.268880581808667,0.0429323384665424,0.0896971294397782
"PELFEM",1.00072819979407,0.0126416323904439,0.0505869853943396,0.0921375447535856,0.174383347837581,0.417388140996384,0.130379769651232,0.11241171222936,-0.0299261390282361,-0.169823064130882,-0.157367730717034,-0.0771965015150899,1,-0.131005491799123,-0.230432962516723,-0.241551189601255,-0.193675160677529,0.0356262953716327,0.0742026846976244,-0.0222012917437061
"PLASCA",1.0042501285473,0.0120687256991682,0.0430669944066508,0.0863293568409025,0.159024925208514,0.396407859167479,0.117866643858433,0.103703646793155,0.0123241811501706,-0.170095419230405,-0.10633094928146,-0.138604946782861,-0.131005491799123,1,-0.0993724373472825,-0.180788069920771,-0.170804096140187,-0.153593970888085,-0.0529499858105164,-0.00562153082760572
"Coleopterans",1.0000467702664,0.0129492334847914,0.0450741672066356,0.0948468636193464,0.169448874410621,0.35855316626473,0.119883166186281,0.094969570984539,-0.0862564379978147,-0.168341059609598,-0.0936796046193701,-0.0369457466437557,-0.230432962516723,-0.0993724373472825,1,-0.195354905246203,-0.133722643844124,0.0321959715208694,-0.0505775684550642,-0.0812490946973977
"Pomacea",1.00096277134871,0.0130358149477372,0.0564331074794942,0.109087564697669,0.203267053997131,0.437077204241976,0.141168419424057,0.110214316080575,-0.141908462349204,-0.137643230141822,-0.0771416396308621,-0.0780853145808663,-0.241551189601255,-0.180788069920771,-0.195354905246203,1,-0.195505396394811,-0.0350255047293436,-0.0593838546315793,0.0129849041359485
"Odonata",1.00010704647694,0.0119376781124036,0.0410879795010044,0.0786159030501303,0.154574416649659,0.364846381232275,0.111252330022482,0.0974965141143478,0.00255063962867571,-0.10915914395302,-0.0650819283340791,-0.0665231305698351,-0.193675160677529,-0.170804096140187,-0.133722643844124,-0.195505396394811,1,-0.0633189965535862,-0.0274859924484592,-0.0366540567351628
"Cyprinodont",1.00093144117247,0.0101869706674512,0.0371219992989982,0.0683580063431921,0.111429833519604,0.212541291306829,0.0811247087752523,0.056030137849852,0.0675542806549439,-0.137534559085462,-0.0580736077342089,-0.268880581808667,0.0356262953716327,-0.153593970888085,0.0321959715208694,-0.0350255047293436,-0.0633189965535862,1,-0.0206791938837228,0.0554927697040617
"sd[d13C]",1.00332401493751,1.06509350522697,1.55642910488462,1.93877465083723,2.45598856907236,4.06155029152894,2.09749141536865,0.771659565869557,0.559510081351534,0.12257857748058,-0.0440709282464116,0.0429323384665424,0.0742026846976244,-0.0529499858105164,-0.0505775684550642,-0.0593838546315793,-0.0274859924484592,-0.0206791938837228,1,0.00246238516161359
"sd[d15N]",1.00082587786437,0.333032895254462,0.639473272965638,0.854004362508758,1.11884511270796,2.1039898140634,0.943342111792804,0.46624455612022,0.729298886569319,0.0257818979099131,0.011495310847042,0.0896971294397782,-0.0222012917437061,-0.00562153082760572,-0.0812490946973977,0.0129849041359485,-0.0366540567351628,0.0554927697040617,0.00246238516161359,1
