"","gelman","quantiles.2.5.","quantiles.25.","quantiles.50.","quantiles.75.","quantiles.97.5.","statistics.mean","statistics.sd","correlations.deviance","correlations.AMPHIPOD","correlations.BELSPP","correlations.BLUE.MITE","correlations.FLATWORM","correlations.PELFEM","correlations.PLASCA","correlations.Coleopterans","correlations.Pomacea","correlations.Odonata","correlations.Cyprinodont","correlations.sd.d13C.","correlations.sd.d15N."
"deviance",1.0004883643689,53.9434213046611,56.1813760572904,58.5970606703165,61.3529628062509,70.0901770595802,59.3509750748839,4.31389870678801,1,-0.0190370864898147,-0.00875085077850386,0.0839794692221403,-0.0195680575616457,-0.0454954341049596,-0.0192193618591307,-0.0310029243861362,0.0646529957269948,0.0145034514564023,-0.000838737454922378,0.639971980412203,0.706625917632111
"AMPHIPOD",1.00446415186133,0.00965002160016645,0.0426809189510027,0.0800114036629157,0.144994978562072,0.336585029602953,0.105691665371278,0.0865845696654224,-0.0190370864898147,1,-0.067522213177156,-0.0315083083239922,-0.0526707729476594,-0.167598206830366,-0.0994095061540642,-0.198713456931213,-0.195719875069847,-0.147151228304075,0.010005618430658,-0.00775465394492467,0.00662927951250065
"BELSPP",1.00314393088864,0.0110530954490071,0.0412420382976445,0.0796314004200316,0.14832777810616,0.358981031382901,0.109500291196178,0.0954804928108484,-0.00875085077850386,-0.067522213177156,1,-0.166318927013198,-0.161894880167467,-0.161610922996873,-0.138471360322604,-0.131292706573975,-0.112225275790502,-0.121371254958373,-0.0956687457267008,-0.000727334408198544,0.0273888551500157
"BLUE MITE",1.00291048703528,0.0104836863371678,0.0351796019086792,0.0686038638077741,0.117170405798921,0.259379554773366,0.0846952101463345,0.0658529718383324,0.0839794692221403,-0.0315083083239922,-0.166318927013198,1,0.0139783845763072,-0.106912654358442,-0.105852654338845,-0.049407514544167,-0.112879289982752,-0.0898617395636852,-0.0929086858557418,0.0147910101998593,0.0195852693669726
"FLATWORM",1.00358058739992,0.00836344395096248,0.0363919435435679,0.0732308621450957,0.128661249360684,0.277742554459517,0.0925278304120551,0.0737180628118211,-0.0195680575616457,-0.0526707729476594,-0.161894880167467,0.0139783845763072,1,-0.0207812561994975,-0.182574308830835,-0.110006694539583,-0.0534541332793354,-0.0877550662450802,-0.248634107660538,-0.033364713701927,-0.00154986373425505
"PELFEM",0.9998970136009,0.00919658068639642,0.0390935407663562,0.0793483992832553,0.157500742496642,0.382833189834041,0.111842932471293,0.0983563319160106,-0.0454954341049596,-0.167598206830366,-0.161610922996873,-0.106912654358442,-0.0207812561994975,1,-0.130012566540709,-0.156385372777325,-0.199835778527857,-0.177038601795295,0.0122979302489161,0.0235802080918451,-0.0278645239432745
"PLASCA",1.00263459138157,0.0101656680648712,0.0397158148339241,0.0788753789519052,0.146826824163099,0.350408191717738,0.106934956154113,0.0921419764724289,-0.0192193618591307,-0.0994095061540642,-0.138471360322604,-0.105852654338845,-0.182574308830835,-0.130012566540709,1,-0.0989156056879029,-0.0892506913428266,-0.135875778350076,-0.145512193007693,-0.0229975427679747,-0.0329469215103597
"Coleopterans",1.00050531507196,0.0104430486826449,0.0406785685002375,0.0754736331483301,0.141069234414347,0.333262800219586,0.104631185681227,0.0868693721580902,-0.0310029243861362,-0.198713456931213,-0.131292706573975,-0.049407514544167,-0.110006694539583,-0.156385372777325,-0.0989156056879029,1,-0.160804744166439,-0.084002782496194,0.0279451816845813,-0.0331674369733203,-0.0610067599420908
"Pomacea",1.00001051307921,0.00772796343411093,0.0382384212729351,0.0773358457254254,0.146613538034065,0.359552753255251,0.10552258722083,0.0935746595937771,0.0646529957269948,-0.195719875069847,-0.112225275790502,-0.112879289982752,-0.0534541332793354,-0.199835778527857,-0.0892506913428266,-0.160804744166439,1,-0.131800083391949,-0.0115310380779574,0.0498637229488697,0.113393778670901
"Odonata",1.00002865056786,0.00901923405890208,0.0398637002598255,0.0785638011667328,0.140505196620446,0.351529863359361,0.104573387513556,0.0916634650190661,0.0145034514564023,-0.147151228304075,-0.121371254958373,-0.0898617395636852,-0.0877550662450802,-0.177038601795295,-0.135875778350076,-0.084002782496194,-0.131800083391949,1,-0.101785013918069,0.0131191513489074,-0.0587959028742324
"Cyprinodont",1.00077200804112,0.00909007022281624,0.0343278499884102,0.0624132320835684,0.101001877595736,0.209482505540022,0.074079953833135,0.052894906054394,-0.000838737454922378,0.010005618430658,-0.0956687457267008,-0.0929086858557418,-0.248634107660538,0.0122979302489161,-0.145512193007693,0.0279451816845813,-0.0115310380779574,-0.101785013918069,1,-0.0181697528531651,0.0281714796985604
"sd[d13C]",1.00012360108824,1.05107742141455,1.57809767072263,1.99821582697295,2.47175816578957,4.32723372855347,2.14797747306833,0.831284397063871,0.639971980412203,-0.00775465394492467,-0.000727334408198544,0.0147910101998593,-0.033364713701927,0.0235802080918451,-0.0229975427679747,-0.0331674369733203,0.0498637229488697,0.0131191513489074,-0.0181697528531651,1,0.0398724065273676
"sd[d15N]",1.00029400133663,0.306686965254877,0.645988104270682,0.863323891047241,1.15054413816177,1.96287069698916,0.945669583406335,0.449588668623521,0.706625917632111,0.00662927951250065,0.0273888551500157,0.0195852693669726,-0.00154986373425505,-0.0278645239432745,-0.0329469215103597,-0.0610067599420908,0.113393778670901,-0.0587959028742324,0.0281714796985604,0.0398724065273676,1
