"","gelman","quantiles.2.5.","quantiles.25.","quantiles.50.","quantiles.75.","quantiles.97.5.","statistics.mean","statistics.sd","correlations.deviance","correlations.MELTUB","correlations.PLASCA","correlations.PSECOL","correlations.Sphaeriidae","correlations.Cyprinodont","correlations.Procambarus","correlations.Pomacea","correlations.Odonata","correlations.Green.Algae","correlations.sd.d13C.","correlations.sd.d15N."
"deviance",1.00053831589197,96.9299205222816,99.5179547525026,101.980411372593,105.286206854707,114.990044079999,103.01540311382,4.85651062680588,1,0.229856780809902,0.137973479975576,0.188690808761538,0.242513106198078,0.244969802381958,0.0768993693770195,0.196085777177856,0.160475638615094,-0.550945467130627,0.67809723433699,0.385645880404072
"MELTUB",1.00023864832306,0.005628699091331,0.0234046369670418,0.0442077502518048,0.0750786010620916,0.184707680453952,0.0580728481409021,0.049081345263661,0.229856780809902,1,-0.0979612367305537,-0.0726522974169316,-0.0503056031684702,-0.0296281639003376,-0.0758424316719545,-0.0285314539419372,-0.0405334754387279,-0.137217960092286,0.215635308987214,0.0171043411477034
"PLASCA",1.00117767088823,0.00754368650983209,0.0337511932777591,0.069579155538785,0.135092749175232,0.354366021639168,0.100810567520214,0.0941620220404709,0.137973479975576,-0.0979612367305537,1,0.0454923500291006,0.05384044455663,-0.133116323160366,-0.121330150775791,-0.0712671646647648,-0.0451402812327505,-0.425474362642972,-0.00763815406278033,-0.0786466983393479
"PSECOL",0.999891248069043,0.00622137689849268,0.0220781692094013,0.0363717043592493,0.0596896047796559,0.12138176318649,0.0441063246763165,0.0302088224601295,0.188690808761538,-0.0726522974169316,0.0454923500291006,1,-0.141326930361891,0.16578974622408,-0.0945204661989963,-0.114360312344639,-0.0240610056172035,-0.0948579853353891,0.104965042593944,0.00142553974920673
"Sphaeriidae",1.00177507121232,0.00644661392164098,0.0235687129250541,0.0448891172013882,0.0747839321378899,0.176106777678876,0.056296463270376,0.0446606816505446,0.242513106198078,-0.0503056031684702,0.05384044455663,-0.141326930361891,1,0.164130833395898,-0.0863689267793916,-0.0850388315106381,-0.0267802878188407,-0.220922809824871,0.15878558760447,0.0352381445608463
"Cyprinodont",0.999941087346796,0.00985424962595422,0.0310305740358718,0.0562270413868947,0.0889058711340507,0.186301655745759,0.0655221211479648,0.0448409051950982,0.244969802381958,-0.0296281639003376,-0.133116323160366,0.16578974622408,0.164130833395898,1,-0.169085322549418,-0.05891098557915,-0.154745643135618,-0.0568496272854615,0.156109828278131,0.169954104309821
"Procambarus",1.00375971094938,0.00879213131809124,0.028119317853539,0.055952128991112,0.102306092202076,0.247109371926396,0.0762521334755027,0.0666380256496346,0.0768993693770195,-0.0758424316719545,-0.121330150775791,-0.0945204661989963,-0.0863689267793916,-0.169085322549418,1,-0.0298085362201802,-0.0603905268324168,-0.172140049362796,0.0660686451425648,-0.0121209214353484
"Pomacea",1.00044148399626,0.00798092622450383,0.0283815360508589,0.0533143947312375,0.0964865879042714,0.246316300866078,0.073843620682514,0.0651217375494823,0.196085777177856,-0.0285314539419372,-0.0712671646647648,-0.114360312344639,-0.0850388315106381,-0.05891098557915,-0.0298085362201802,1,-0.0726921736569221,-0.223830723395723,0.137872738403786,-0.00318413040612091
"Odonata",1.00044908524694,0.00740931023172677,0.0366237076095572,0.0746338464909313,0.155343864025234,0.483596318689666,0.119012617234408,0.121984840038879,0.160475638615094,-0.0405334754387279,-0.0451402812327505,-0.0240610056172035,-0.0267802878188407,-0.154745643135618,-0.0603905268324168,-0.0726921736569221,1,-0.605672627290314,0.0659787313441595,-0.148608545294995
"Green Algae",1.00017393649247,0.0653619308932666,0.303716261006043,0.426716141067314,0.521700047969062,0.685381750639257,0.406083303851801,0.162009865658037,-0.550945467130627,-0.137217960092286,-0.425474362642972,-0.0948579853353891,-0.220922809824871,-0.0568496272854615,-0.172140049362796,-0.223830723395723,-0.605672627290314,1,-0.299713212476168,0.101668924261256
"sd[d13C]",1.00727306715173,0.637746995520238,1.00960876590349,1.22719129898718,1.503290516511,2.32687113220101,1.28709227212318,0.429379276346905,0.67809723433699,0.215635308987214,-0.00763815406278033,0.104965042593944,0.15878558760447,0.156109828278131,0.0660686451425648,0.137872738403786,0.0659787313441595,-0.299713212476168,1,0.0260877508867135
"sd[d15N]",1.00172114389526,0.686141619913822,0.954879210542006,1.13368747651288,1.32683565727151,1.87866963417022,1.1687995421409,0.295417043720271,0.385645880404072,0.0171043411477034,-0.0786466983393479,0.00142553974920673,0.0352381445608463,0.169954104309821,-0.0121209214353484,-0.00318413040612091,-0.148608545294995,0.101668924261256,0.0260877508867135,1
