"","gelman","quantiles.2.5.","quantiles.25.","quantiles.50.","quantiles.75.","quantiles.97.5.","statistics.mean","statistics.sd","correlations.deviance","correlations.MELTUB","correlations.PLASCA","correlations.Sphaeriidae","correlations.Cyprinodont","correlations.Procambarus","correlations.Pomacea","correlations.Odonata","correlations.Green.Algae","correlations.sd.d13C.","correlations.sd.d15N."
"deviance",1.0002498465343,96.6649579250178,99.0863537338371,101.595331385476,104.809900779323,112.540811257639,102.415477280107,4.22694109047656,1,0.105998190532326,0.145482877820341,0.191069075740762,0.152115873373821,0.193459458977467,0.195386196285662,0.125507617028409,-0.507912350235885,0.576812126440401,0.410239850035561
"MELTUB",0.999983044902931,0.00919191643741629,0.0320769601028479,0.0562615038134112,0.0963591278248346,0.224516731060119,0.0721125282779343,0.0567785661388028,0.105998190532326,1,-0.0757030081808372,-0.166591402041293,-0.118971329266209,-0.0411441451668999,-0.156944932708417,-0.0911500100591659,-0.0762218137035815,0.105543411228853,-0.0221930663948679
"PLASCA",1.00079299912272,0.0108552572852531,0.0402800548561795,0.071670944865578,0.134059114075391,0.343770570300099,0.100944487316831,0.0868616055495464,0.145482877820341,-0.0757030081808372,1,0.0329208749187216,-0.101153365660786,-0.112307108811465,-0.0241944195197025,-0.109973263987421,-0.377341312498517,-0.0881741978215569,-0.0215841423973707
"Sphaeriidae",1.0029717628921,0.0101718696344593,0.0348851466818171,0.0606632202857535,0.0991472956963383,0.195592084717694,0.0718446736387681,0.0492963439645924,0.191069075740762,-0.166591402041293,0.0329208749187216,1,0.131490397928517,-0.0329238865036524,-0.119927753818543,0.0137957915848808,-0.24969626682172,0.183685671344078,-0.0385307624688817
"Cyprinodont",1.00096723427812,0.00902953603019843,0.0288635865499094,0.0533118696318869,0.082614167234021,0.154594507327321,0.0601493645970263,0.0393855492860544,0.152115873373821,-0.118971329266209,-0.101153365660786,0.131490397928517,1,-0.105755587359769,-0.0194927968100635,-0.108871531758938,-0.0561673753227756,0.0193160790401672,0.138458590650429
"Procambarus",1.00001248919753,0.0110194232202295,0.0357313207887154,0.0675625948343885,0.11227169037926,0.265298833917167,0.0858028585224025,0.0695977601682688,0.193459458977467,-0.0411441451668999,-0.112307108811465,-0.0329238865036524,-0.105755587359769,1,-0.104576676756896,-0.101714417259376,-0.20771680981787,0.116079419183566,-0.00765062032809076
"Pomacea",1.004411802609,0.00983131910095387,0.0338831298353,0.068550780850209,0.120881932914245,0.273257371656332,0.0892680696738658,0.0765555419654505,0.195386196285662,-0.156944932708417,-0.0241944195197025,-0.119927753818543,-0.0194927968100635,-0.104576676756896,1,-0.102825940847103,-0.258526799828066,0.142664916675912,0.0131399188924852
"Odonata",0.999969627007888,0.0108135177348229,0.0433446737528307,0.0896659871731552,0.174735964594103,0.457502790938441,0.129173855387001,0.11864167224362,0.125507617028409,-0.0911500100591659,-0.109973263987421,0.0137957915848808,-0.108871531758938,-0.101714417259376,-0.102825940847103,1,-0.560272462383509,0.0229347179053076,-0.145506995282322
"Green Algae",1.00245479685844,0.0751626631957382,0.286274114467586,0.40040605847674,0.499564316320447,0.667586314504534,0.390704162586171,0.152345479354628,-0.507912350235885,-0.0762218137035815,-0.377341312498517,-0.24969626682172,-0.0561673753227756,-0.20771680981787,-0.258526799828066,-0.560272462383509,1,-0.196074925142485,0.107458439621838
"sd[d13C]",1.00033669889676,0.646119925313576,0.982287881409045,1.21987698873927,1.44929569695211,2.15295811575485,1.25706948348033,0.376239405697203,0.576812126440401,0.105543411228853,-0.0881741978215569,0.183685671344078,0.0193160790401672,0.116079419183566,0.142664916675912,0.0229347179053076,-0.196074925142485,1,-0.00771696142732008
"sd[d15N]",1.00900625753723,0.690040198494411,0.962038991359545,1.12264209552704,1.31645292201313,1.83510666880391,1.16728303892445,0.300526890352675,0.410239850035561,-0.0221930663948679,-0.0215841423973707,-0.0385307624688817,0.138458590650429,-0.00765062032809076,0.0131399188924852,-0.145506995282322,0.107458439621838,-0.00771696142732008,1
