"","gelman","quantiles.2.5.","quantiles.25.","quantiles.50.","quantiles.75.","quantiles.97.5.","statistics.mean","statistics.sd","correlations.deviance","correlations.POELAT","correlations.Sphaeriidae","correlations.Cyprinodont","correlations.Procambarus","correlations.Aquatic.Snails","correlations.Odonata","correlations.Green.Algae","correlations.sd.d13C.","correlations.sd.d15N."
"deviance",0.999909612398145,96.7923985105866,99.3820528070428,101.721546903118,105.063655120854,113.2450559944,102.611451236983,4.37499036478299,1,0.236948248478667,0.124360888186738,0.198523233757113,0.142144943266176,0.0745659228009814,0.126551478875895,-0.431727083182442,0.53863351140165,0.562854809373789
"POELAT",1.00205609286572,0.00977844269285586,0.0347839611712985,0.0650075303623223,0.10165856634772,0.225945321418097,0.0776738688851142,0.057425717095963,0.236948248478667,1,0.45959853183055,-0.145290623353003,-0.101328893490785,-0.00849320047781922,-0.123630702984173,-0.411823023464138,0.0327071047067209,0.203082681724367
"Sphaeriidae",1.00103270514906,0.0206639305061906,0.0698560748504667,0.118479264555662,0.188863960139251,0.321790865233502,0.134916962519765,0.0822232276998438,0.124360888186738,0.45959853183055,1,0.135656170337053,-0.186858667809539,-0.19066749295647,-0.194783254702621,-0.382053040902581,0.179347182171809,0.0328119075680363
"Cyprinodont",1.00055641871347,0.00875340364974203,0.0310012503286474,0.0523803397334011,0.0816080777672054,0.159338945258684,0.0607490143890419,0.0403724499097623,0.198523233757113,-0.145290623353003,0.135656170337053,1,-0.160560046906174,-0.10017436057387,-0.130036959577568,-0.032533587094121,0.037096102796853,0.186129680734014
"Procambarus",1.00110806548221,0.0111082781117962,0.0447223644368377,0.0828611872810251,0.142896583616947,0.317152636787776,0.106009247918364,0.0840274382822042,0.142144943266176,-0.101328893490785,-0.186858667809539,-0.160560046906174,1,-0.112593765102302,-0.149125757436459,-0.183657337653741,0.114578414286875,0.0631968672908833
"Aquatic Snails",1.00010902255271,0.00983443919612562,0.0420021974654294,0.0735733585047344,0.118399914826085,0.267849493959434,0.0901219201782073,0.0676242124013527,0.0745659228009814,-0.00849320047781922,-0.19066749295647,-0.10017436057387,-0.112593765102302,1,-0.181540070560294,-0.0842405727567616,-0.0590009591708511,-0.0227515817068332
"Odonata",1.00435694091416,0.0139516804484357,0.0558306525243627,0.111796109367707,0.21660079762634,0.544792620845843,0.156966524036642,0.13783067174165,0.126551478875895,-0.123630702984173,-0.194783254702621,-0.130036959577568,-0.149125757436459,-0.181540070560294,1,-0.551467925622151,-0.0937170857868854,-0.0734174550195786
"Green Algae",1.0043198302338,0.0795940393890449,0.261129939144585,0.378531356676864,0.485965747326448,0.657669477957377,0.373562462072865,0.153514479852113,-0.431727083182442,-0.411823023464138,-0.382053040902581,-0.032533587094121,-0.183657337653741,-0.0842405727567616,-0.551467925622151,1,-0.070632698973067,-0.101144313756791
"sd[d13C]",1.00116456277306,0.579643712085311,0.93213827609433,1.14964652747535,1.38555291572799,2.1455966345357,1.18872560287729,0.380402455441528,0.53863351140165,0.0327071047067209,0.179347182171809,0.037096102796853,0.114578414286875,-0.0590009591708511,-0.0937170857868854,-0.070632698973067,1,0.05319535053347
"sd[d15N]",1.00119326855147,0.654233994235944,0.981742041766726,1.16195703200056,1.37143248349958,1.95086697270901,1.20414408040024,0.330344318011466,0.562854809373789,0.203082681724367,0.0328119075680363,0.186129680734014,0.0631968672908833,-0.0227515817068332,-0.0734174550195786,-0.101144313756791,0.05319535053347,1
