"","gelman","quantiles.2.5.","quantiles.25.","quantiles.50.","quantiles.75.","quantiles.97.5.","statistics.mean","statistics.sd","correlations.deviance","correlations.UTRPUR","correlations.Sphaeriidae","correlations.Cyprinodont","correlations.Procambarus","correlations.Aquatic.Snails","correlations.Odonata","correlations.Green.Algae","correlations.sd.d13C.","correlations.sd.d15N."
"deviance",1.00042169433143,96.6598424775565,98.6411262554382,100.488388028306,103.34892198013,112.030869535665,101.50956840984,4.05642354352247,1,0.0101288215314861,0.243073473393811,0.135481112684945,0.0903027897023442,0.143667892594522,0.0190161385314439,-0.251225172260158,0.556074631299443,0.525749258626524
"UTRPUR",1.00490979527333,0.0208403756794305,0.0845567187903306,0.174677727606773,0.302069045994603,0.532373727651975,0.204959647500286,0.1460641933755,0.0101288215314861,1,-0.188986745260956,0.162342143023747,-0.0693091039374346,-0.0948090344214747,-0.176755962571567,-0.67730420813964,0.0142479353352309,-0.140868633349887
"Sphaeriidae",1.00798969763207,0.0117170681171814,0.040338677564951,0.0680741524074785,0.106113833220696,0.211761903735971,0.0797760785150963,0.0538986064762774,0.243073473393811,-0.188986745260956,1,0.260520804726847,-0.15808497083114,-0.130891449136576,-0.124124352001594,-0.0213975133165637,0.174754409409972,0.0732144065844854
"Cyprinodont",1.00184487501101,0.0169992040944767,0.0498121808483893,0.0828703811165401,0.123904328615309,0.214588967539245,0.0911555297747098,0.0537861182655769,0.135481112684945,0.162342143023747,0.260520804726847,1,-0.239086738051849,-0.175337845655212,-0.284218992203109,-0.15707801497499,0.0220774932235234,0.0856730360728668
"Procambarus",1.00036425139369,0.0128067817102031,0.049725744930436,0.0937228880930866,0.15114938871385,0.324037072016314,0.112162315134694,0.0826772115207479,0.0903027897023442,-0.0693091039374346,-0.15808497083114,-0.239086738051849,1,-0.106644953946879,-0.150884449944403,-0.157430823854309,0.120173101129294,0.0373283017209879
"Aquatic Snails",1.00408072575045,0.0145198044865464,0.0450211367807693,0.0816319740277145,0.128746154643885,0.264810572346627,0.0959250561915728,0.0670970049115063,0.143667892594522,-0.0948090344214747,-0.130891449136576,-0.175337845655212,-0.106644953946879,1,-0.129731762049934,-0.0750785241746201,-0.0324656274059122,-0.00900694945309083
"Odonata",1.00289939978216,0.0156817077837564,0.0637949213705697,0.121067077287245,0.210046509093366,0.457339814296872,0.152589973971915,0.120362730136895,0.0190161385314439,-0.176755962571567,-0.124124352001594,-0.284218992203109,-0.150884449944403,-0.129731762049934,1,-0.312878744519507,-0.0210812345446951,-0.0686127294767746
"Green Algae",1.00007303198464,0.0262016046635074,0.120367763093268,0.247856266161066,0.382427732494173,0.602947668536237,0.263431398911726,0.164244231193089,-0.251225172260158,-0.67730420813964,-0.0213975133165637,-0.15707801497499,-0.157430823854309,-0.0750785241746201,-0.312878744519507,1,-0.109029281889787,0.108364497858819
"sd[d13C]",1.00157295560098,0.598721035027537,0.93805847911931,1.16520185044105,1.39370068745421,2.0121916094951,1.19471993530258,0.364601920959165,0.556074631299443,0.0142479353352309,0.174754409409972,0.0220774932235234,0.120173101129294,-0.0324656274059122,-0.0210812345446951,-0.109029281889787,1,0.0059927838269186
"sd[d15N]",1.00389853282413,0.562093983216641,0.89735688816594,1.05331000160448,1.25455319389379,1.87980524360748,1.09812466170608,0.323844591617636,0.525749258626524,-0.140868633349887,0.0732144065844854,0.0856730360728668,0.0373283017209879,-0.00900694945309083,-0.0686127294767746,0.108364497858819,0.0059927838269186,1
