"","gelman","quantiles.2.5.","quantiles.25.","quantiles.50.","quantiles.75.","quantiles.97.5.","statistics.mean","statistics.sd","correlations.deviance","correlations.UTRPUR","correlations.Sphaeriidae","correlations.Cyprinodont","correlations.Procambarus","correlations.Aquatic.Snails","correlations.Odonata","correlations.Green.Algae","correlations.Anurans","correlations.sd.d13C.","correlations.sd.d15N."
"deviance",1.00185116780403,96.6104046669614,98.586856168726,100.474312526158,102.93087117317,110.009844220559,101.261459000944,3.63486201938402,1,-0.0434560065226051,0.114572204849192,0.139556053396196,0.0298847404128032,0.0776011788575745,-0.0218417692143117,-0.0831695999753391,-0.0320420971534841,0.603522044630427,0.529873998414828
"UTRPUR",1.00739524899047,0.0179097632729684,0.076397649453139,0.141660282129295,0.237648169645785,0.438080872125862,0.166986468408271,0.116176738560082,-0.0434560065226051,1,-0.234065546005224,0.167626685859332,-0.0557351353536357,-0.0735017777579979,-0.185306990289299,-0.392513785252918,-0.285350430937211,0.0038484348076328,-0.0696004544276039
"Sphaeriidae",1.00053874053019,0.0153165394169187,0.0461636968452371,0.0796022446998063,0.128520251653593,0.221632653154898,0.0921590918290354,0.0586713812454077,0.114572204849192,-0.234065546005224,1,0.177354641328353,-0.205358951105941,-0.210263726523322,-0.141971745075335,-0.0995069789589109,0.211276502575812,0.121897363275603,0.0514460916850617
"Cyprinodont",1.00732044642983,0.0116113874436301,0.0415140646819132,0.0668460670078096,0.106078358850307,0.192671332422266,0.0768569283821959,0.0490215140804077,0.139556053396196,0.167626685859332,0.177354641328353,1,-0.272074680670617,-0.0832577962848342,-0.239731510890118,-0.021804071680876,-0.184468872386174,0.0464824070727275,0.102324532187307
"Procambarus",1.00041831604916,0.0113874521163323,0.0491275781935354,0.0934842272852857,0.162726397130725,0.349989947518101,0.117057170907217,0.0900199700411781,0.0298847404128032,-0.0557351353536357,-0.205358951105941,-0.272074680670617,1,-0.185201921094081,-0.233102589511673,-0.133857334539272,-0.0187842087660811,0.0865458167843435,-0.0209956663951582
"Aquatic Snails",1.00138106026378,0.0131189807329223,0.0434768627135985,0.0793702693242651,0.130062720695772,0.261356318993285,0.094742914968994,0.0677476763666165,0.0776011788575745,-0.0735017777579979,-0.210263726523322,-0.0832577962848342,-0.185201921094081,1,-0.139546537972964,-0.0427467611818044,-0.0469730921719908,-0.0902612383682286,-0.0379066734354986
"Odonata",1.00132714134071,0.0116722786766587,0.0518646474651695,0.101334163402877,0.192847808790167,0.44045105120759,0.136242960937771,0.113421634513308,-0.0218417692143117,-0.185306990289299,-0.141971745075335,-0.239731510890118,-0.233102589511673,-0.139546537972964,1,-0.19833177436201,-0.155286510652385,-0.0652217094642312,-0.0686530283025983
"Green Algae",1.00073491917236,0.0179241791606594,0.071689464015081,0.146695432283022,0.251745758469192,0.483546347861874,0.174840714449741,0.128956828100673,-0.0831695999753391,-0.392513785252918,-0.0995069789589109,-0.021804071680876,-0.133857334539272,-0.0427467611818044,-0.19833177436201,1,-0.38343947446944,-0.0525756703164455,0.109724619126934
"Anurans",1.0003996514537,0.0161893272975139,0.0591957950519062,0.117105173155837,0.200298766333602,0.387040219845664,0.141113750116775,0.10173140161626,-0.0320420971534841,-0.285350430937211,0.211276502575812,-0.184468872386174,-0.0187842087660811,-0.0469730921719908,-0.155286510652385,-0.38343947446944,1,0.0257939889867253,-0.0182190040238431
"sd[d13C]",1.00639483642415,0.587621447214702,0.94945239543054,1.15982060810749,1.4089151879166,2.06759205868814,1.20298787910097,0.372682206492261,0.603522044630427,0.0038484348076328,0.121897363275603,0.0464824070727275,0.0865458167843435,-0.0902612383682286,-0.0652217094642312,-0.0525756703164455,0.0257939889867253,1,0.0147612777745125
"sd[d15N]",1.00009280220029,0.624720867065503,0.917963331540147,1.10779476348422,1.30866275601749,1.80772288737589,1.13362402799977,0.303960546529258,0.529873998414828,-0.0696004544276039,0.0514460916850617,0.102324532187307,-0.0209956663951582,-0.0379066734354986,-0.0686530283025983,0.109724619126934,-0.0182190040238431,0.0147612777745125,1
