"","gelman","quantiles.2.5.","quantiles.25.","quantiles.50.","quantiles.75.","quantiles.97.5.","statistics.mean","statistics.sd","correlations.deviance","correlations.UTRPUR","correlations.Sphaeriidae","correlations.Procambarus","correlations.Aquatic.Snails","correlations.Odonata","correlations.Green.Algae","correlations.Anurans","correlations.sd.d13C.","correlations.sd.d15N."
"deviance",1.02191403069792,96.7373375256882,98.5890836641387,100.441072437957,102.88478728204,109.950582022874,101.227304429148,3.52497586616569,1,0.122092862652793,0.198680101039873,-0.0277661459660334,0.0349084088725469,-0.149808366849154,-0.0133245935225693,-0.00391741710669922,0.611690663022212,0.48994951594393
"UTRPUR",1.00067806394096,0.0139547955275115,0.0569201510884222,0.106056537396981,0.180367574105801,0.399972609583591,0.132428717352251,0.100853713869775,0.122092862652793,1,-0.172045582604878,-0.0945028187387899,-0.0553122422514469,-0.105118819099129,-0.266069499557254,-0.25314564210049,0.025740848161266,0.0557734218465896
"Sphaeriidae",1.00211974890449,0.0124311468608045,0.040735575947764,0.0689401718952534,0.10439012442651,0.210713492567552,0.0786243178916446,0.0507654224995012,0.198680101039873,-0.172045582604878,1,-0.165898574171595,-0.181263674316135,-0.0497424335345126,-0.156714429943048,0.212801458122861,0.0193839243328638,0.079333854544931
"Procambarus",1.00094740898798,0.020190866525308,0.0703273587745433,0.12991866911364,0.216852858744558,0.388424563072892,0.151718058582328,0.102119688511034,-0.0277661459660334,-0.0945028187387899,-0.165898574171595,1,-0.23079986879779,-0.357464258332204,-0.0684537119442863,-0.0853386522478781,0.134288191498354,0.0126704222615699
"Aquatic Snails",1.00185680887677,0.0141499375827853,0.0538294640926225,0.0899156894429474,0.151902648427853,0.299455001205908,0.111027065765193,0.076057096273092,0.0349084088725469,-0.0553122422514469,-0.181263674316135,-0.23079986879779,1,-0.205628673236653,-0.0743171365637322,-0.00399982958455314,-0.108349694895897,-0.00963910326093682
"Odonata",1.00020747633109,0.0173382454791563,0.06662638473016,0.136080709267761,0.243385440170606,0.49580299215373,0.173760168766899,0.13360094268217,-0.149808366849154,-0.105118819099129,-0.0497424335345126,-0.357464258332204,-0.205628673236653,1,-0.27313173623591,-0.280718166206615,-0.105682504575355,-0.206545872638178
"Green Algae",1.00086771831775,0.0177827481042666,0.0774435505391046,0.147539205818976,0.251619025725024,0.495536036290291,0.179343247921083,0.131511043435604,-0.0133245935225693,-0.266069499557254,-0.156714429943048,-0.0684537119442863,-0.0743171365637322,-0.27313173623591,1,-0.412172209845531,0.0472103579336059,0.173361793235411
"Anurans",1.00330787480058,0.0157446677834296,0.0862060466278425,0.151518347648555,0.237872987264276,0.443753258753985,0.173098423720601,0.115456103260118,-0.00391741710669922,-0.25314564210049,0.212801458122861,-0.0853386522478781,-0.00399982958455314,-0.280718166206615,-0.412172209845531,1,-0.00989293349270376,-0.0469218830239922
"sd[d13C]",1.00117203576287,0.502059276708238,0.899763570640189,1.10610693965062,1.34135936808486,2.05350078938675,1.14782491396696,0.378902270024589,0.611690663022212,0.025740848161266,0.0193839243328638,0.134288191498354,-0.108349694895897,-0.105682504575355,0.0472103579336059,-0.00989293349270376,1,0.0249642535115075
"sd[d15N]",1.00207324977554,0.575612925122496,0.898319682193577,1.06747788711434,1.27830013932366,1.83261898169478,1.10637382175337,0.311420829615982,0.48994951594393,0.0557734218465896,0.079333854544931,0.0126704222615699,-0.00963910326093682,-0.206545872638178,0.173361793235411,-0.0469218830239922,0.0249642535115075,1
