"","names","interval","lower","upper"
"1","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"2","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"3","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"4","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"5","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"6","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"7","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"8","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"9","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"10","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"11","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"12","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"13","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"14","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"15","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"16","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"17","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"18","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"19","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"20","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"21","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"22","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"23","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"24","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"25","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"26","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"27","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"28","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"29","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"30","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"31","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"32","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"33","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"34","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"35","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"36","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"37","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"38","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"39","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"40","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"41","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
