"ID","MDS1","MDS2","X","size_class","Season","Slough","Habitat"
"AC01",-0.971651128203093,0.317055386025905,1,"A.cal2","Wet","SRS","Pond"
"AC02",-1.10329753230602,-0.174959071943962,2,"A.cal2","Wet","SRS","Pond"
"AC03",-1.40310988413765,-0.187172509796396,3,"A.cal2","Wet","SRS","Pond"
"AC04",-1.45404866964541,-0.21134529206772,4,"A.cal2","Wet","SRS","Marsh"
"AG01",-0.14253935668831,-0.412560951491666,6,"A.ros1","Wet","TSL","Pond"
"AN01",-0.36181304346827,-0.122103357718171,7,"A.nat2","Wet","SRS","Marsh"
"AN03",-0.433806384171106,-0.237486194040094,8,"A.nat3","Wet","SRS","Pond"
"AN06",-1.10329753230602,-0.174959071943962,11,"A.nat1","Dry","SRS","Pond"
"AN07",-0.660526832210959,-0.582815969930123,12,"A.nat1","Dry","SRS","Marsh"
"AN08",-0.681567320359912,1.69153523156394,13,"A.nat2","Dry","SRS","Pond"
"AN09",0.020888942069639,1.24025599404296,14,"A.nat4","Dry","SRS","Pond"
"AN10",-0.748292075794939,0.262074902631979,15,"A.nat1","Dry","SRS","Pond"
"AN11",-0.267642915132521,0.385768841461538,16,"A.nat2","Dry","SRS","Pond"
"AN12",-0.267642915132521,0.385768841461538,17,"A.nat2","Dry","SRS","Pond"
"AN13",-0.267642915132521,0.385768841461538,18,"A.nat2","Dry","SRS","Pond"
"AN14",-0.267642915132521,0.385768841461538,19,"A.nat3","Dry","SRS","Pond"
"AN15",-0.217527699832429,1.03527460259863,20,"A.nat3","Dry","SRS","Pond"
"AN16",-0.366890255793697,0.599230475807429,21,"A.nat3","Dry","SRS","Pond"
"AN17",-0.267642915132521,0.385768841461538,22,"A.nat4","Dry","SRS","Pond"
"AN18",-1.34508134177943,-0.60229857411882,23,"A.nat1","Dry","SRS","Marsh"
"AN20",-0.267642915132521,0.385768841461538,25,"A.nat4","Wet","SRS","Marsh"
"AN21",-0.366890255793697,0.599230475807429,26,"A.nat3","Dry","SRS","Pond"
"AN22",-0.366890255793697,0.599230475807429,27,"A.nat4","Dry","SRS","Pond"
"AN23",-0.267642915132521,0.385768841461538,28,"A.nat4","Dry","SRS","Pond"
"AN24",-0.267642915132521,0.385768841461538,29,"A.nat1","Dry","SRS","Pond"
"AN25",0.421709160173974,0.853842930603649,30,"A.nat3","Dry","SRS","Pond"
"AN26",-0.217527699832429,1.03527460259863,31,"A.nat3","Dry","SRS","Pond"
"AN27",-0.0290873421400105,0.315403411173889,32,"A.nat4","Dry","SRS","Pond"
"AN28",-0.267642915132521,0.385768841461538,33,"A.nat4","Dry","SRS","Pond"
"AN29",-0.267642915132521,0.385768841461538,34,"A.nat4","Dry","SRS","Pond"
"AN30",-0.83487618722459,0.491073062584091,35,"A.nat4","Dry","SRS","Pond"
"AT01",-0.104736268696231,-0.294623326189537,36,"A.gry1","Wet","SRS","Pond"
"AT03",0.0296994128408777,0.728097148526425,37,"A.gry1","Wet","SRS","Pond"
"BB01",-0.681567320359912,1.69153523156394,39,"B.bel1","Dry","TSL","Marsh"
"BB02",-1.10329753230602,-0.174959071943962,40,"B.bel1","Wet","SRS","Pond"
"BB03",-1.10329753230602,-0.174959071943962,41,"B.bel1","Wet","TSL","Pond"
"BB04",-0.681567320359912,1.69153523156394,42,"B.bel1","Wet","TSL","NP"
"BB06",-1.10329753230602,-0.174959071943962,43,"B.bel1","Wet","SRS","Pond"
"BB09",-1.10329753230602,-0.174959071943962,44,"B.bel1","Dry","SRS","Pond"
"BB10",-0.681567320359912,1.69153523156394,45,"B.bel1","Dry","SRS","Pond"
"BB14",-1.10329753230602,-0.174959071943962,46,"B.bel1","Wet","SRS","Pond"
"BB15",-1.10329753230602,-0.174959071943962,47,"B.bel1","Dry","SRS","Marsh"
"CB15",-1.06788755304913,-0.257275618959135,48,"C.bim1","Wet","TSL","NP"
"CB16",-0.748292075794939,0.262074902631979,49,"C.bim1","Wet","TSL","NP"
"CB18",-0.0431495272569274,-0.283575382733715,50,"C.bim1","Wet","TSL","NP"
"CL03",0.460803455911946,0.383353258807783,53,"C.bat1","Wet","TSL","Pond"
"CL04",-0.989883353686485,-0.626605946855047,54,"C.bat1","Wet","SRS","Marsh"
"CL05",-0.884788005130763,-0.891706991323861,55,"C.bat1","Dry","SRS","Pond"
"CL07",-1.10329753230602,-0.174959071943962,57,"C.bat1","Wet","SRS","Marsh"
"CL08",-1.0753303898849,-0.644157371273132,58,"C.bat1","Wet","TSL","Marsh"
"CL09",-1.0040676741858,0.931897556906645,59,"C.bat1","Wet","SRS","Marsh"
"CL10",-0.217527699832429,1.03527460259863,60,"C.bat1","Wet","SRS","Marsh"
"CL11",0.239360419023971,0.0490226313793777,61,"C.bat1","Wet","SRS","Marsh"
"CL12",-0.96715995814558,-0.550716807358861,62,"C.bat1","Wet","SRS","Marsh"
"CL13",-0.701532399391697,-0.117398901189367,63,"C.bat1","Wet","SRS","Marsh"
"CL15",-0.724057631599347,-0.121231664414342,65,"C.bat1","Wet","SRS","Marsh"
"CL16",-0.921336457613567,0.381240671937046,66,"C.bat1","Wet","SRS","Pond"
"CM05",-0.180525275343548,-0.499580295472669,67,"C.man1","Wet","TSL","NP"
"CM08",-1.10329753230602,-0.174959071943962,69,"C.man1","Dry","SRS","Pond"
"CO02",-0.217527699832429,1.03527460259863,71,"C.oce1","Wet","TSL","Pond"
"CO03",-0.267642915132521,0.385768841461538,72,"C.oce1","Wet","SRS","Marsh"
"CU03",-0.256608344188185,0.0643175151279659,73,"C.uro1","Wet","TSL","Marsh"
"CU08",-0.267642915132521,0.385768841461538,74,"C.uro1","Wet","TSL","NP"
"CU09",-0.397962328491231,-0.0709833902862155,75,"C.uro2","Wet","SRS","Pond"
"CU10",-0.37717899123072,-0.106473020756593,76,"C.uro1","Wet","SRS","Pond"
"CU11",-0.37717899123072,-0.106473020756593,77,"C.uro1","Wet","SRS","Marsh"
"CU12",-0.37717899123072,-0.106473020756593,78,"C.uro1","Wet","SRS","Marsh"
"CU13",-0.374044318141027,-0.108056481684892,79,"C.uro1","Wet","SRS","Marsh"
"CU14",-0.181331716623327,-0.278160626428384,80,"C.uro2","Wet","TSL","Marsh"
"CU15",-1.19194434339479,0.341909465832509,81,"C.uro2","Wet","SRS","Marsh"
"CU17",-0.0431495272569274,-0.283575382733715,83,"C.uro2","Wet","SRS","Marsh"
"CU18",-0.37717899123072,-0.106473020756593,84,"C.uro1","Wet","SRS","Marsh"
"CU19",-0.499719232864302,-0.285065325574318,85,"C.uro1","Wet","SRS","Marsh"
"CU20",-0.37717899123072,-0.106473020756593,86,"C.uro2","Wet","SRS","Marsh"
"CU21",-0.652652917125037,-0.00619366396656968,87,"C.uro2","Wet","SRS","Marsh"
"CU22",-0.3722741470195,-0.0944308470794135,88,"C.uro2","Wet","TSL","Pond"
"CU23",-0.217527699832429,1.03527460259863,89,"C.uro2","Wet","SRS","Pond"
"CU29",-0.377000557606939,-0.104588767828789,91,"C.uro1","Wet","SRS","Marsh"
"CU33",-0.131415943224601,-0.423447418791993,92,"C.uro1","Wet","TSL","NP"
"CU38",-0.37717899123072,-0.106473020756593,96,"C.uro1","Wet","SRS","Marsh"
"CU59",-0.375068158226239,-0.107762331827866,97,"C.uro1","Wet","SRS","Marsh"
"CU60",-0.371324917951453,-0.0943483743471206,98,"C.uro1","Wet","SRS","Marsh"
"CU61",-0.381938366721486,-0.168864649903329,99,"C.uro1","Wet","SRS","Marsh"
"CU62",-0.3785587203097,-0.117764280387495,100,"C.uro1","Wet","SRS","Marsh"
"CU63",-0.371422370474975,-0.0938584574613237,101,"C.uro1","Wet","SRS","Marsh"
"CU64",-0.372196722848511,-0.106379894471201,102,"C.uro1","Wet","SRS","Marsh"
"CU65",-0.358955181275093,-0.132166544361911,103,"C.uro1","Wet","SRS","Marsh"
"CU66",-0.367097146024519,-0.116518893485747,104,"C.uro1","Wet","TSL","Pond"
"CU68",-1.10329753230602,-0.174959071943962,105,"C.uro2","Wet","TSL","Pond"
"CU69",-0.361308921274683,-0.112721836927825,106,"C.uro1","Wet","SRS","Pond"
"CU71",-0.376125431489416,-0.0918961383457957,108,"C.uro1","Wet","SRS","Pond"
"CU72",-0.37717899123072,-0.106473020756593,109,"C.uro1","Wet","SRS","Pond"
"CU73",-0.364183111887939,-0.113105518043394,110,"C.uro1","Wet","SRS","Pond"
"CU74",-0.267642915132521,0.385768841461538,111,"C.uro1","Wet","TSL","Pond"
"CU76",-0.400519926584332,-0.26574212270736,112,"C.uro1","Wet","SRS","Pond"
"CU77",-0.382656934331223,-0.0813645364176707,113,"C.uro1","Dry","SRS","Marsh"
"CU79",-0.37717899123072,-0.106473020756593,115,"C.uro1","Wet","SRS","Marsh"
"CU81",-0.455140040588449,-0.184275840622608,116,"C.uro1","Dry","SRS","Marsh"
"CU82",-0.37717899123072,-0.106473020756593,117,"C.uro1","Dry","SRS","Marsh"
"CU83",-0.419399646885219,-0.131854710757236,118,"C.uro1","Dry","SRS","Marsh"
"CU85",-0.724057631599347,-0.121231664414342,120,"C.uro2","Dry","SRS","Pond"
"CV03",-0.0290873421400105,0.315403411173889,121,"C.var1","Wet","SRS","Marsh"
"EE02",0.458600740144699,0.382160555402668,123,"E.eve1","Dry","TSL","Marsh"
"EE05",-0.246098716356067,0.075808859829363,126,"E.eve1","Wet","SRS","NP"
"EE06",-0.0431495272569274,-0.283575382733715,127,"E.eve1","Wet","SRS","NP"
"EE07",0.459787630569894,0.708616655072968,128,"E.eve1","Wet","SRS","NP"
"EE08",0.465054773775709,0.383541602173007,129,"E.eve1","Wet","SRS","NP"
"EE09",0.465054773775709,0.383541602173007,130,"E.eve1","Wet","SRS","NP"
"EE10",0.645891996763862,0.223943110172156,131,"E.eve1","Wet","SRS","NP"
"EE11",0.352202105599672,0.405162610944534,132,"E.eve1","Wet","TSL","NP"
"EE12",0.336073042966774,0.534829244376216,133,"E.eve1","Wet","TSL","Marsh"
"EE13",0.455237404036487,0.382675682582973,134,"E.eve1","Wet","TSL","NP"
"EE15",0.465054773775709,0.383541602173007,135,"E.eve1","Wet","TSL","NP"
"EE19",-0.37717899123072,-0.106473020756593,139,"E.eve1","Wet","SRS","Pond"
"EE20",0.966442101566927,0.304329429518177,140,"E.eve1","Wet","SRS","Marsh"
"EE22",-0.880051065007112,0.185805742941044,142,"E.eve1","Wet","SRS","Marsh"
"EE27",0.24365862197517,1.1069999950281,144,"E.eve1","Wet","SRS","NP"
"EE28",0.24365862197517,1.1069999950281,145,"E.eve1","Wet","SRS","NP"
"EE29",0.557391626166849,0.584565288218192,146,"E.eve1","Wet","SRS","NP"
"EE30",0.664047375792965,0.44631474666555,147,"E.eve1","Wet","SRS","NP"
"EE31",0.24365862197517,1.1069999950281,148,"E.eve1","Wet","SRS","NP"
"EE33",0.465054773775709,0.383541602173007,150,"E.eve1","Wet","SRS","NP"
"EE34",0.465054773775709,0.383541602173007,151,"E.eve1","Wet","SRS","NP"
"EE35",0.948610717303089,-1.12215274942124,152,"E.eve1","Wet","SRS","NP"
"EE37",0.421709160173974,0.853842930603649,154,"E.eve1","Wet","SRS","NP"
"EE38",0.356585477738051,0.487518526978355,155,"E.eve1","Wet","SRS","NP"
"EE39",-0.724057631599347,-0.121231664414342,156,"E.eve1","Wet","SRS","NP"
"EE41",0.356585477738051,0.487518526978355,158,"E.eve1","Wet","SRS","NP"
"EE42",0.50636050736908,0.540961246223144,159,"E.eve1","Wet","SRS","NP"
"EE47",0.735549160441311,-0.00677907992528444,164,"E.eve1","Wet","SRS","Pond"
"EE48",0.356585477738051,0.487518526978355,165,"E.eve1","Wet","SRS","Pond"
"EE49",0.0975073837405599,-0.667529571813834,166,"E.eve1","Wet","SRS","Pond"
"EE50",0.356585477738051,0.487518526978355,167,"E.eve1","Wet","SRS","Pond"
"EE52",0.239360419023971,0.0490226313793777,169,"E.eve1","Wet","SRS","Pond"
"EE53",0.655832858552658,0.145362094573089,170,"E.eve1","Wet","SRS","Pond"
"EE55",0.465054773775709,0.383541602173007,172,"E.eve1","Dry","SRS","Marsh"
"EE56",0.539197132437069,0.244903113227503,173,"E.eve1","Dry","SRS","Marsh"
"EE66",0.239360419023971,0.0490226313793777,174,"E.eve1","Dry","SRS","Pond"
"EE67",0.242114187239135,0.0784964712663357,175,"E.eve1","Dry","SRS","Marsh"
"EE68",0.27885985090477,0.0493132224676903,176,"E.eve1","Dry","SRS","Marsh"
"EE69",0.64956672668174,0.460061410554892,177,"E.eve1","Dry","SRS","Marsh"
"EE70",0.239360419023971,0.0490226313793777,178,"E.eve1","Dry","SRS","Marsh"
"EE72",0.239360419023971,0.0490226313793777,180,"E.eve1","Dry","SRS","Marsh"
"EE73",-0.0431495272569274,-0.283575382733715,181,"E.eve1","Dry","SRS","Marsh"
"EG06",0.642738131354257,0.0215550512265293,182,"E.glo1","Dry","TSL","Marsh"
"EG07",0.319662003374714,-0.0145096824564035,183,"E.glo1","Dry","TSL","Marsh"
"EG08",0.237662808915283,0.0480601134407065,184,"E.glo1","Dry","TSL","Marsh"
"EG09",0.242595482006314,0.0574109251809695,185,"E.glo1","Dry","TSL","Marsh"
"EG10",0.290916715315043,0.11140716087671,186,"E.glo1","Dry","TSL","Marsh"
"EG11",0.430399211006668,0.124155722277939,187,"E.glo1","Dry","TSL","Marsh"
"EG12",0.263788144392024,0.0941805744065715,188,"E.glo1","Dry","TSL","Marsh"
"EG13",-0.350576894495018,-1.01202306047782,189,"E.glo1","Dry","TSL","Marsh"
"EG14",-0.37717899123072,-0.106473020756593,190,"E.glo1","Dry","TSL","Marsh"
"EG15",-0.367590634857393,-0.124240071999271,191,"E.glo1","Wet","SRS","Pond"
"EG16",0.591819331213647,-0.520798038982727,192,"E.glo1","Wet","TSL","NP"
"EG18",0.465054773775709,0.383541602173007,193,"E.glo1","Wet","TSL","NP"
"EG42",-0.364940122411519,-0.125165601448979,194,"E.glo1","Wet","SRS","Marsh"
"EG55",-0.370736959761018,-0.107752437333898,195,"E.glo1","Wet","SRS","Pond"
"EG56",-0.363959154652092,-0.10929818401899,196,"E.glo1","Wet","SRS","Pond"
"EG60",-0.521645717818253,-0.34014811568611,197,"E.glo1","Dry","SRS","Marsh"
"EG83",-0.0431495272569274,-0.283575382733715,198,"E.glo1","Dry","SRS","Marsh"
"EG84",-0.461002885533162,-0.343030093576513,199,"E.glo1","Dry","SRS","Marsh"
"EG85",-0.221030900560934,-1.37919324204091,200,"E.glo1","Dry","SRS","Marsh"
"EG86",0.10723127314053,-1.07156693581556,201,"E.glo1","Dry","SRS","Marsh"
"EU01",0.707058838607789,0.312829820541991,202,"E.suc1","Wet","SRS","Marsh"
"EU02",0.265820493174307,0.0292152789952531,203,"E.suc1","Wet","SRS","Marsh"
"EU03",0.6373362890709,0.0547059639157067,204,"E.suc1","Wet","SRS","Marsh"
"EU05",0.674990993693889,0.0118955686012031,205,"E.suc2","Wet","SRS","Pond"
"EU06",0.227189025110198,0.0660897798992116,206,"E.suc1","Wet","SRS","Pond"
"EU07",0.869916578225332,0.209691932073697,207,"E.suc1","Wet","SRS","Pond"
"EU08",0.262365657926013,0.0498432348231659,208,"E.suc1","Wet","SRS","Pond"
"EU09",0.293876934868021,0.0162750951239504,209,"E.suc1","Wet","SRS","Pond"
"EU10",0.371404138694077,0.00577936779933312,210,"E.suc2","Wet","SRS","Pond"
"EU12",0.245238245132316,0.081814119793682,212,"E.suc1","Wet","SRS","Pond"
"EU16",0.344253254949609,-0.00962177315582318,216,"E.suc1","Dry","SRS","Pond"
"EU17",0.238275630703765,0.0824945507287009,217,"E.suc1","Dry","SRS","Pond"
